"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","108155.4","","","","1"
"2007-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","109689.2","","","","1"
"2007-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","113087.5","","","","1"
"2007-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","113364.1","","","","1"
"2008-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","113189.2","","","","1"
"2008-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","115588.3","","","","1"
"2008-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","112508.5","","","","1"
"2008-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","104734.2","","","","1"
"2009-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","92662.3","","","","1"
"2009-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","90593.4","","","","1"
"2009-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","97361.4","","","","1"
"2009-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","100418.3","","","","1"
"2010-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","104507.7","","","","1"
"2010-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","108155.5","","","","1"
"2010-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","111255.5","","","","1"
"2010-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","110284.9","","","","1"
"2011-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","113210.9","","","","1"
"2011-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","114153.3","","","","1"
"2011-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","115657.7","","","","1"
"2011-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","116973.8","","","","1"
"2012-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","118141.6","","","","1"
"2012-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","118407.7","","","","1"
"2012-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","119382.6","","","","1"
"2012-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","118868.3","","","","1"
"2013-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","120593.5","","","","1"
"2013-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","122048.5","","","","1"
"2013-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","121598.6","","","","1"
