"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11158","","","","0"
"2002-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","8678","","","","0"
"2002-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11417","","","","0"
"2002-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14587","","","","0"
"2002-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17346","","","","0"
"2002-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16454","","","","0"
"2002-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15264","","","","0"
"2002-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15847","","","","0"
"2002-09","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","14225","","","","0"
"2002-10","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16391","","","","0"
"2002-11","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15694","","","","0"
"2002-12","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12312","","","","0"
"2003-01","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","9071","","","","0"
"2003-02","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","12824","","","","0"
"2003-03","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","11051","","","","0"
"2003-04","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15837","","","","0"
"2003-05","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","15505","","","","0"
"2003-06","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","16396","","","","0"
"2003-07","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17006","","","","0"
"2003-08","Canada","2016A000011124","Housing starts","Total units","Units","300","units","0","v15817891","1.1.1","17366","","","","0"
