"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50042237","","","","0"
"2000-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","43832638","","","","0"
"2000-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","49774960","","","","0"
"2000-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","49285927","","","","0"
"2000-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","40807413","","","","0"
"2000-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","48914715","","","","0"
"2000-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","48315489","","","","0"
"2000-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50955802","","","","0"
"2000-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","49941364","","","","0"
"2000-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","44303910","","","","0"
"2001-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","44382710","","","","0"
"2001-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","41997222","","","","0"
"2001-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","48600289","","","","0"
"2001-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","45490603","","","","0"
"2001-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50194715","","","","0"
"2001-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","47963232","","","","0"
"2001-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","40622041","","","","0"
"2001-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","47125905","","","","0"
"2001-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","44795193","","","","0"
"2001-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","46467027","","","","0"
"2001-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","45922134","","","","0"
"2001-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","39710906","","","","0"
"2002-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","41700553","","","","0"
"2002-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","42023869","","","","0"
"2002-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","46182221","","","","0"
"2002-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","48100866","","","","0"
"2002-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50368511","","","","0"
"2002-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","48144501","","","","0"
"2002-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","43127393","","","","0"
"2002-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","49049232","","","","0"
"2002-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","48730513","","","","0"
"2002-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50909541","","","","0"
"2002-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","48398906","","","","0"
"2002-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","43166605","","","","0"
"2003-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","44423258","","","","0"
"2003-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","43929386","","","","0"
"2003-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","49097723","","","","0"
"2003-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","47419111","","","","0"
"2003-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","49136060","","","","0"
"2003-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","47439411","","","","0"
"2003-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","43860747","","","","0"
"2003-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","45925128","","","","0"
"2003-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50046152","","","","0"
"2003-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50527512","","","","0"
"2003-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","47253856","","","","0"
"2003-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","44575629","","","","0"
"2004-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","42804380","","","","0"
"2004-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","44257981","","","","0"
"2004-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","52090261","","","","0"
"2004-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","49295927","","","","0"
"2004-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50753944","","","","0"
"2004-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","52669211","","","","0"
"2004-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","44706402","","","","0"
"2004-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50531354","","","","0"
"2004-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","51144624","","","","0"
"2004-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50003854","","","","0"
"2004-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","49387897","","","","0"
